id,market,algorithm,sym,closed,wins,wr,pnl,bucket
sp500_xgboost_v7,SP500,xgboost,"",19,5,26.3,1.47,B_FRAGILE_lowwr_profit
nasdaq_aapl_sarima__ps_v9,NASDAQ,sarima__ps,AAPL,7,1,14.3,1.51,B_FRAGILE_lowwr_profit
nasdaq_avgo_sarima__ps_v9,NASDAQ,sarima__ps,AVGO,12,3,25.0,1.61,B_FRAGILE_lowwr_profit
crypto_btc_xgboost__ps_v3,CRYPTO,xgboost__ps,BTC,13,1,7.7,1.62,B_FRAGILE_lowwr_profit
sp500_pg_gru_nn__ps_v9,SP500,gru_nn__ps,PG,5,1,20.0,1.63,B_FRAGILE_lowwr_profit
sp500_ko_gru_nn__ps_v7,SP500,gru_nn__ps,KO,14,4,28.6,1.66,B_FRAGILE_lowwr_profit
sp500_ko_gru_nn__ps_v6,SP500,gru_nn__ps,KO,14,4,28.6,1.66,B_FRAGILE_lowwr_profit
sp500_ko_gru_nn__ps_v9,SP500,gru_nn__ps,KO,14,4,28.6,1.66,B_FRAGILE_lowwr_profit
sp500_ko_gru_nn__ps,SP500,gru_nn__ps,KO,14,4,28.6,1.66,B_FRAGILE_lowwr_profit
sp500_ko_gru_nn__ps_v3,SP500,gru_nn__ps,KO,14,4,28.6,1.66,B_FRAGILE_lowwr_profit
nasdaq_avgo_sarima__ps_v6,NASDAQ,sarima__ps,AVGO,8,1,12.5,1.69,B_FRAGILE_lowwr_profit
nasdaq_avgo_random_forest__ps_v3,NASDAQ,random_forest__ps,AVGO,8,1,12.5,1.69,B_FRAGILE_lowwr_profit
gold_btmc_sjc_xgboost__ps_v9,GOLD,xgboost__ps,BTMC_sjc,14,1,7.1,2.00,B_FRAGILE_lowwr_profit
gold_btmc_sjc_xgboost__ps_v3,GOLD,xgboost__ps,BTMC_sjc,14,1,7.1,2.00,B_FRAGILE_lowwr_profit
sp500_xom_gru_nn__ps_v7,SP500,gru_nn__ps,XOM,7,2,28.6,2.03,B_FRAGILE_lowwr_profit
sp500_xom_gru_nn__ps_v3,SP500,gru_nn__ps,XOM,7,2,28.6,2.03,B_FRAGILE_lowwr_profit
sp500_xom_gru_nn__ps_v9,SP500,gru_nn__ps,XOM,7,2,28.6,2.03,B_FRAGILE_lowwr_profit
sp500_xom_gru_nn__ps,SP500,gru_nn__ps,XOM,7,2,28.6,2.03,B_FRAGILE_lowwr_profit
sp500_xom_gru_nn__ps_v6,SP500,gru_nn__ps,XOM,7,2,28.6,2.03,B_FRAGILE_lowwr_profit
